/M0/D (Iref=5e-05) X,/M0/D (Iref=5e-05) Y
0,1.311713626424965e-20
0.8,0.004717566646862352
1.6,0.005070438154256841
2.4,0.00508083000124359
3.2,0.005088665655348615
4,0.005095360745209763
4.8,0.005101308046673581
5.6,0.00510669135838485
6.399999999999999,0.005111615951168679
7.199999999999999,0.005116150867535699
7.999999999999999,0.005120345713629482
8.799999999999999,0.005124238555225687
9.6,0.005127860081097202
10.4,0.005131235982523128
11.2,0.005134388395185968
12,0.005137336811481264
12.8,0.005140098676721244
13.6,0.005142689788578146
14.4,0.005145124570259286
15.2,0.005147416261012396
16,0.005149577051959071
16.8,0.005151618185763481
17.6,0.005153550032607156
18.40000000000001,0.005155382150944922
19.20000000000001,0.005157123338779507
20.00000000000001,0.00515878167927317
20.80000000000001,0.005160364583145926
21.60000000000001,0.005161878829339541
22.40000000000001,0.005163330604742014
23.20000000000001,0.005164725543304287
24.00000000000001,0.005166068764578717
24.80000000000001,0.00516736491153222
25.60000000000001,0.005168618187396301
26.40000000000001,0.005169832391290852
27.20000000000001,0.005171010952370462
28.00000000000001,0.005172156962281971
28.80000000000001,0.005173273205770716
29.60000000000002,0.00517436218932829
30.40000000000002,0.0051754261678252
31.20000000000002,0.005176467169119444
32.00000000000001,0.005177487016669666
32.80000000000001,0.005178487350214291
33.60000000000001,0.005179469644600019
34.40000000000001,0.005180435226861432
35.2,0.005181385291662293
36,0.005182320915216663
36.8,0.005183243067807773
37.59999999999999,0.005184152625023013
38.39999999999999,0.005185050377817957
39.19999999999999,0.005185937041518686
40,0.005186813263863562
