/M0/D (Iref=0.0002) X,/M0/D (Iref=0.0002) Y
0,4.02088899968371e-19
0.8,0.01007624783260383
1.6,0.01699775535075396
2.4,0.02025038213702057
3.2,0.02083990538361266
4,0.02087090265033218
4.8,0.02088236116947629
5.6,0.02089039789241422
6.399999999999999,0.02089692101058902
7.199999999999999,0.02090260004951884
7.999999999999999,0.0209077413422223
8.799999999999999,0.02091250751953424
9.6,0.02091699478861201
10.4,0.02092126479204
11.2,0.02092535949640195
12,0.02092930885885164
12.8,0.02093313508811295
13.6,0.02093685516277935
14.4,0.02094048239668316
15.2,0.02094402745382744
16,0.02094749903038775
16.8,0.02095090432728352
17.6,0.02095424938647044
18.40000000000001,0.02095753933589897
19.20000000000001,0.02096077857165309
20.00000000000001,0.0209639708958713
20.80000000000001,0.02096711962290133
21.60000000000001,0.02097022766220608
22.40000000000001,0.02097329758396877
23.20000000000001,0.02097633167162811
24.00000000000001,0.02097933196440263
24.80000000000001,0.02098230029204983
25.60000000000001,0.02098523830353359
26.40000000000001,0.02098814749085922
27.20000000000001,0.02099102920904146
28.00000000000001,0.020993884692946
28.80000000000001,0.02099671507158551
29.60000000000002,0.02099952138032461
30.40000000000002,0.02100230457135674
31.20000000000002,0.02100506552274212
32.00000000000001,0.02100780504624079
32.80000000000001,0.02101052389413066
33.60000000000001,0.02101322276516656
34.40000000000001,0.02101590230980655
35.2,0.02101856313481394
36,0.02102120580732148
36.8,0.02102383085843209
37.59999999999999,0.02102643878641847
38.39999999999999,0.02102903005957452
39.19999999999999,0.02103160511876221
40,0.02103416437969313
